Key;Transition;Timestamp
ART_A-640;Funnel;17.11.2025 08:04:54
ART_A-640;Analysis;08.11.2025 07:45:26
ART_A-639;Created;24.10.2025 10:31:20
ART_A-638;Created;24.10.2025 10:29:00
ART_A-637;Created;23.10.2025 08:22:12
ART_A-636;Created;23.10.2025 08:21:58
ART_A-635;Created;23.10.2025 08:21:40
ART_A-634;Created;23.10.2025 08:21:30
ART_A-633;Created;23.10.2025 08:20:54
ART_A-632;Created;23.10.2025 08:20:33
ART_A-631;Created;23.10.2025 08:20:12
ART_A-630;Created;23.10.2025 08:19:29
ART_A-629;Created;23.10.2025 08:19:06
ART_A-628;Created;23.10.2025 08:18:20
ART_A-627;Created;23.10.2025 08:17:59
ART_A-626;Created;23.10.2025 08:17:07
ART_A-626;Done;30.11.2025 09:41:45
ART_A-625;Created;23.10.2025 08:16:03
ART_A-624;Created;23.10.2025 08:15:22
ART_A-624;Program Backlog;30.11.2025 13:03:58
ART_A-623;Created;23.10.2025 08:14:48
ART_A-622;Created;19.10.2025 12:58:45
ART_A-616;Created;13.10.2025 15:56:10
ART_A-616;Analysis;31.10.2025 10:29:54
ART_A-615;Created;13.10.2025 15:19:56
ART_A-615;Done;21.11.2025 16:56:55
ART_A-615;Implementation;07.11.2025 08:23:07
ART_A-615;Program Backlog;07.11.2025 08:23:02
ART_A-615;Analysis;13.10.2025 15:23:25
ART_A-613;Created;10.10.2025 10:40:37
ART_A-613;Done;10.10.2025 11:43:04
ART_A-612;Created;04.10.2025 12:27:12
ART_A-611;Created;29.09.2025 08:57:07
ART_A-610;Created;25.09.2025 08:34:03
ART_A-610;Analysis;19.10.2025 10:04:59
ART_A-604;Created;14.09.2025 13:17:22
ART_A-604;Implementation;15.11.2025 15:25:37
ART_A-602;Created;14.09.2025 08:04:18
ART_A-602;Analysis;15.11.2025 15:25:20
ART_A-601;Created;14.09.2025 08:03:38
ART_A-601;Implementation;15.11.2025 15:24:44
ART_A-597;Created;13.09.2025 15:54:12
ART_A-595;Created;13.09.2025 15:12:04
ART_A-589;Created;13.09.2025 12:25:03
ART_A-589;Done;14.11.2025 09:30:14
ART_A-589;Implementation;06.10.2025 11:06:11
ART_A-589;Program Backlog;13.09.2025 13:24:38
ART_A-589;Analysis;13.09.2025 12:25:50
ART_A-587;Created;13.09.2025 11:54:45
ART_A-587;Implementation;13.10.2025 11:43:38
ART_A-587;Program Backlog;13.09.2025 15:12:27
ART_A-586;Created;06.09.2025 17:56:16
ART_A-586;Done;13.11.2025 12:08:07
ART_A-586;Implementation;17.10.2025 12:51:00
ART_A-586;Program Backlog;12.09.2025 17:01:31
ART_A-586;Funnel;12.09.2025 16:59:25
ART_A-586;Program Backlog;12.09.2025 16:55:29
ART_A-584;Created;08.09.2025 10:54:16
ART_A-584;Done;27.11.2025 13:36:56
ART_A-584;Implementation;17.10.2025 12:50:48
ART_A-584;Program Backlog;12.09.2025 09:08:56
ART_A-583;Created;08.09.2025 08:33:27
ART_A-583;Done;06.11.2025 13:22:19
ART_A-583;Releasing;02.11.2025 09:38:29
ART_A-583;Implementation;13.10.2025 11:40:33
ART_A-583;Program Backlog;08.09.2025 08:38:22
ART_A-582;Created;07.09.2025 17:48:09
ART_A-582;Analysis;07.09.2025 17:48:20
ART_A-581;Created;07.09.2025 17:21:53
ART_A-581;Funnel;27.11.2025 11:14:29
ART_A-581;Analysis;31.10.2025 10:26:40
ART_A-581;Funnel;13.10.2025 16:17:25
ART_A-581;Analysis;07.09.2025 17:23:03
ART_A-580;Created;07.09.2025 17:17:06
ART_A-580;Funnel;27.11.2025 11:14:24
ART_A-580;Analysis;31.10.2025 10:26:30
ART_A-580;Funnel;13.10.2025 16:17:38
ART_A-580;Analysis;07.09.2025 17:18:20
ART_A-579;Created;07.09.2025 15:01:33
ART_A-579;Analysis;31.10.2025 10:32:22
ART_A-579;Funnel;13.10.2025 16:09:05
ART_A-579;Analysis;07.09.2025 15:11:38
ART_A-578;Created;07.09.2025 10:58:45
ART_A-578;Funnel;12.09.2025 15:00:47
ART_A-578;Analysis;07.09.2025 11:00:16
ART_A-577;Created;07.09.2025 09:22:03
ART_A-577;Implementation;31.10.2025 10:43:59
ART_A-577;Program Backlog;13.10.2025 16:17:01
ART_A-577;Analysis;07.09.2025 17:19:15
ART_A-576;Created;07.09.2025 08:48:13
ART_A-576;Analysis;16.11.2025 10:30:18
ART_A-575;Created;06.09.2025 17:57:12
ART_A-575;Analysis;30.11.2025 14:28:17
ART_A-573;Created;06.09.2025 17:53:17
ART_A-573;Done;20.11.2025 11:57:11
ART_A-573;Implementation;17.10.2025 12:48:09
ART_A-573;Program Backlog;12.09.2025 09:09:01
ART_A-572;Created;06.09.2025 17:50:02
ART_A-572;Done;13.11.2025 12:08:31
ART_A-572;Implementation;17.10.2025 12:48:04
ART_A-572;Program Backlog;12.09.2025 09:07:56
ART_A-571;Created;06.09.2025 17:44:23
ART_A-571;Done;30.11.2025 14:33:40
ART_A-571;Implementation;13.11.2025 12:06:16
ART_A-571;Program Backlog;12.09.2025 09:08:04
ART_A-570;Created;06.09.2025 11:39:33
ART_A-565;Created;01.09.2025 14:49:54
ART_A-565;Funnel;05.09.2025 10:20:42
ART_A-565;Analysis;01.09.2025 14:51:03
ART_A-564;Created;01.09.2025 14:48:21
ART_A-564;Done;30.11.2025 17:21:43
ART_A-564;Implementation;13.10.2025 16:08:03
ART_A-564;Analysis;01.09.2025 14:51:07
ART_A-562;Created;01.09.2025 14:36:09
ART_A-562;Funnel;13.10.2025 16:08:58
ART_A-562;Analysis;01.09.2025 14:42:56
ART_A-556;Created;29.08.2025 18:49:03
ART_A-556;Funnel;30.11.2025 07:55:49
ART_A-556;Analysis;29.08.2025 18:56:18
ART_A-555;Created;29.08.2025 17:48:42
ART_A-555;Done;07.11.2025 08:25:07
ART_A-555;Releasing;07.11.2025 08:12:06
ART_A-555;Implementation;17.10.2025 15:13:38
ART_A-555;Program Backlog;01.09.2025 14:53:34
ART_A-555;Analysis;29.08.2025 18:56:04
ART_A-554;Created;29.08.2025 10:55:54
ART_A-554;Done;14.11.2025 13:22:03
ART_A-554;Releasing;13.11.2025 10:00:53
ART_A-554;Implementation;07.11.2025 08:14:54
ART_A-554;Program Backlog;30.08.2025 10:55:51
ART_A-554;Analysis;29.08.2025 17:43:41
ART_A-552;Created;29.08.2025 09:00:12
ART_A-551;Created;29.08.2025 08:58:38
ART_A-551;Funnel;17.11.2025 16:15:22
ART_A-551;Analysis;17.11.2025 16:15:20
ART_A-551;Funnel;16.11.2025 10:10:27
ART_A-551;Analysis;10.10.2025 13:43:11
ART_A-549;Created;28.08.2025 13:17:08
